Country,Nitrogen,Panimal,Pvegetal,NMid,NMin,NMax,Energy,PLR,ConstructionLabor,OMLabor,Tax,Coal,Oil,Gas,Hydro,Bio,Geo,Wind,Solar,Nuclear
Slovakia,72.51,34.95,37.56,0.17,0.04,0.25,0.18,0.576312,1044.21,1011.02,0.21,0.078179,0.054648,0.072258,0.166982,0.066507,0,0.000232,0.019554,0.541639
Brazil,94.99,52.59,42.4,0.06,0.04,0.2,0.18,0.555187,490.8,565.6,0.34,0.131828,0.01401,0.027943,0.635352,0.090415,0,0.073312,0.00144,0.025701
Slovenia,96.19,51.81,44.38,0.17,0.04,0.25,0.19,0.686592,1431.36,1736.66,0.19,0.189547,0.077988,0.057358,0.248275,0.019464,0,0.000391,0.018487,0.388491
Finland,117.72,73.03,44.69,0.17,0.04,0.25,0.19,1.035843,3321.66,3516.85,0.2,0.123707,0.034096,0.025001,0.223757,0.18893,0,0.073437,0.000659,0.330413
Greece,108.8,59.24,49.56,0.17,0.04,0.25,0.19,0.686812,858.82,983.04,0.28,0.459973,0.14456,0.133632,0.075173,0.005882,0,0.105056,0.075723,0
Philippines,59.93,24.86,35.07,0.03,0.01,0.07,0.19,0.347242,225.15,270.78,0.3,0.391373,0.299315,0.05274,0.10572,0.011244,0.114109,0.012155,0.013344,0
France,110.52,69.34,41.18,0.17,0.04,0.25,0.19,0.914456,3001.61,3162.97,0.31,0.070632,0.007473,0.032408,0.092283,0.019017,0.000224,0.046198,0.017897,0.713868
Switzerland,93.08,59.77,33.31,0.17,0.04,0.25,0.2,1.216506,6655.2,6739.43,0.18,0.009343,0.0000496,0.002713,0.572296,0.052645,0,0.002255,0.028535,0.332163
Sweden,107.72,70.83,36.89,0.17,0.04,0.25,0.2,1.026302,5027.7,4871.31,0.21,0.009092,0.000959,0.000402,0.401576,0.085451,0,0.109377,0.001429,0.391713
Luxembourg,113.88,72.12,41.76,0.17,0.04,0.25,0.21,1.029138,3161.38,3999.84,0.27,0.187107,0.002763,0.046225,0.093076,0.281498,0,0.266742,0.122588,0
New Zealand,92.54,54.82,37.72,0.22,0.04,0.33,0.21,1.022922,3487.58,3585.04,0.28,0.109334,0.014795,0.056903,0.580563,0.013644,0.173675,0.049362,0.001723,0
Peru,74.92,27.04,47.88,0.06,0.04,0.2,0.21,0.482668,439.08,550.39,0.3,0.235632,0.0067,0.150702,0.560373,0.020102,0,0.0209,0.00559,0
Uganda,52.68,12.39,40.29,0.02,0.001,0.05,0.21,0.316305,122.4,107.31,0.3,0.060514,0,0,0.86626,0.057717,0,0,0.01551,0
Austria,106.21,62.86,43.35,0.17,0.04,0.25,0.22,0.928,2819.58,3065.15,0.25,0.127996,0.022229,0.080037,0.567821,0.085855,0.00000156,0.097285,0.018774,0
Czech Republic,87.47,50.48,36.99,0.17,0.04,0.25,0.23,0.580687,1070.22,1098.98,0.19,0.170821,0.25741,0.123512,0.022778,0.062209,0,0.007158,0.026677,0.329434
United Kingdom,103.21,58.28,44.93,0.17,0.04,0.25,0.24,0.9341,3592.87,3669.83,0.19,0.234785,0.027147,0.214019,0.018359,0.112838,0,0.156632,0.036101,0.200119
Guatemala,63.73,17.83,45.9,0.06,0.04,0.2,0.25,0.538507,290.93,335.36,0.25,0.228479,0.062026,0,0.455721,0.200272,0.020203,0.017408,0.015891,0
Netherlands,111.72,75.76,35.96,0.17,0.04,0.25,0.25,0.941329,3266.93,4389.89,0.25,0.42224,0.082263,0.294421,0.000548,0.056476,0,0.094942,0.019799,0.029312
Spain,104.88,65.15,39.73,0.17,0.04,0.25,0.25,0.764712,2023.13,2333,0.25,0.282677,0.045959,0.12531,0.070663,0.026222,0,0.183476,0.052743,0.212949
El Salvador,71.9,25.25,46.65,0.06,0.04,0.2,0.25,0.487946,269.99,341.6,0.3,0.248535,0,0,0.305235,0.135324,0.27594,0,0.034965,0
Ireland,110.02,64.83,45.19,0.17,0.04,0.25,0.26,0.947154,3541.91,3950.76,0.13,0.393751,0.055157,0.243572,0.023328,0.030275,0,0.253542,0.000375,0
Italy,108.51,58.25,50.26,0.17,0.04,0.25,0.26,0.824357,2339.89,2568.71,0.24,0.281132,0.045809,0.299096,0.127276,0.077838,0.020731,0.062567,0.08555,0
Japan,87.73,48.46,39.27,0.15,0.04,0.2,0.28,0.918044,3075.57,2989.18,0.31,0.360745,0.215853,0.218324,0.085111,0.042217,0.002282,0.006694,0.056799,0.011975
Portugal,110.88,67.29,43.59,0.17,0.04,0.25,0.29,0.700512,852.84,884.92,0.21,0.338069,0.091727,0.161998,0.104622,0.063315,0.003487,0.218857,0.017925,0
Belgium,99.59,58.11,41.48,0.17,0.04,0.25,0.32,0.924343,3305.18,3776.4,0.29,0.190312,0.01479,0.089947,0.003299,0.088128,0,0.078637,0.04018,0.494707
Denmark,108.88,69.81,39.07,0.17,0.04,0.25,0.34,1.102013,5791.39,5978.65,0.22,0.165626,0.031063,0.061948,0.000589,0.232177,0,0.484003,0.024593,0
Germany,101.59,61.48,40.11,0.17,0.04,0.25,0.35,0.896909,3684.59,3942.32,0.3,0.23269,0.135943,0.156965,0.032278,0.094064,0.000254,0.167556,0.063659,0.116591
Bermuda,90.79,60.27,30.52,0.12,0.03,0.16,0.4,1.631825,5129.3,7547.9,0,1,0,0,0,0,0,0,0,0
