Myanmar,Venezuela,Egypt,Azerbaijan,Kazakhstan,Ukraine,Saudi Arabia,Ghana,Trinidad and Tobago,Ethiopia,Paraguay,Georgia,Malaysia,Bangladesh,Pakistan,Vietnam,Macedonia,Serbia,Armenia,United Arab Emirates,Sri Lanka,Mexico,Cameroon,Argentina,Belarus,Jordan,Botswana,Turkey,Angola,Bosnia and Herzegovina,Albania,Indonesia,Dominican Republic,Tanzania,Korea,Canada,Ivory Coast,South Africa,Hungary,Bulgaria,Thailand,Namibia,Hong Kong,Norway,Macau,Costa Rica,Kenya,Colombia,Malta,Lithuania,Croatia,Iceland,Honduras,Congo,Romania,Poland,Estonia,Israel,Panama,Chile,Latvia,Slovakia,Brazil,Slovenia,Finland,Greece,Philippines,France,Switzerland,Sweden,Luxembourg,New Zealand,Peru,Uganda,Austria,Czech Republic,United Kingdom,Guatemala,Netherlands,Spain,El Salvador,Ireland,Italy,Japan,Portugal,Belgium,Denmark,Germany,Bermuda
0.161425653,0.197840815,0.17556154,0.185297344,0.198203982,0.199294858,0.21656006,0.198991158,0.217320025,0.197400994,0.212485207,0.211735268,0.220969837,0.202069481,0.197532342,0.22513184,0.23650469,0.236179868,0.22741113,0.285002023,0.224810201,0.241833699,0.237893667,0.254685882,0.259397266,0.251258867,0.248808363,0.259415991,0.247604779,0.279394158,0.266543348,0.241159599,0.25032866,0.246742048,0.313212968,0.339515513,0.274150894,0.291825483,0.303926569,0.296050678,0.296873674,0.289763135,0.366758117,0.393675082,0.359869567,0.347525234,0.324504505,0.302454158,0.364578972,0.36019313,0.336888718,0.405675717,0.333529529,0.342283364,0.356316801,0.347075726,0.383161845,0.436204779,0.341479567,0.371733195,0.367066443,0.361115858,0.368398097,0.395213728,0.440593869,0.404566087,0.3608568,0.424188194,0.45701148,0.473568717,0.454443559,0.435696107,0.392487998,0.383695432,0.465864482,0.432850522,0.455308938,0.439931766,0.486916597,0.482307874,0.44775901,0.514270804,0.492913661,0.540587413,0.496310099,0.581898244,0.609139161,0.615330619,0.72202453
0.15143086,0.189552423,0.1694745,0.174754729,0.188954641,0.189330638,0.211347576,0.188693495,0.208147781,0.186641212,0.209880518,0.202975953,0.212032618,0.188454964,0.186956683,0.224095132,0.229294766,0.2216359,0.228424818,0.25581991,0.207788179,0.242662313,0.218909371,0.250982361,0.243431856,0.25214738,0.240360559,0.262957366,0.241682389,0.253706939,0.260520405,0.24345847,0.249553704,0.246121109,0.304995771,0.328575488,0.255975372,0.284453825,0.30499393,0.288982005,0.285449739,0.280481232,0.361820691,0.38816806,0.342907663,0.31746195,0.29730601,0.30135284,0.343837722,0.350861366,0.332713957,0.432394058,0.310565298,0.328311126,0.351189335,0.341884857,0.370268869,0.407713127,0.323117486,0.368186713,0.359582087,0.343007433,0.364759616,0.390322016,0.411810664,0.373274844,0.343322261,0.431383995,0.438887941,0.440558866,0.432808811,0.404624119,0.375423502,0.358946523,0.441048039,0.421945184,0.469255545,0.404738198,0.494063246,0.47980927,0.428259113,0.516538054,0.467350918,0.517362144,0.493701558,0.560154979,0.588928148,0.616096155,0.695220948
0.158772914,0.209847362,0.179240101,0.184250631,0.197461834,0.198455871,0.233703683,0.192171386,0.212080557,0.184634415,0.206822288,0.201255434,0.218581805,0.189620089,0.187296595,0.221033513,0.220582337,0.220554942,0.226193364,0.261025978,0.21505166,0.243210315,0.225224853,0.261510808,0.237953194,0.243087457,0.237627139,0.25840481,0.237707483,0.250135732,0.271839743,0.23535719,0.244385691,0.22861982,0.294728871,0.331669131,0.256916993,0.286698371,0.293841688,0.273388101,0.261939289,0.282337606,0.356197161,0.368655541,0.331735656,0.311335088,0.300190085,0.290944242,0.353222435,0.351085356,0.334237522,0.421524776,0.305260461,0.312868555,0.332045905,0.345068825,0.336089605,0.394730121,0.349931916,0.339147029,0.355469435,0.32836004,0.367259707,0.381446212,0.405400412,0.367647356,0.331019117,0.408786816,0.468646739,0.417685879,0.449982675,0.419223657,0.378469031,0.341535301,0.440618049,0.403961196,0.476744041,0.411777971,0.456827224,0.460797119,0.41228655,0.494560977,0.458682963,0.481101529,0.485306736,0.535525548,0.595191307,0.568520467,0.668715411
0.214559867,0.259493946,0.226919186,0.237322987,0.250766546,0.258389451,0.280445947,0.257351392,0.277117577,0.255021597,0.2739779,0.270525333,0.273665862,0.255947149,0.263345768,0.287780382,0.305933433,0.300003927,0.294576759,0.339494057,0.284999326,0.305522025,0.286146768,0.319337766,0.313883669,0.31307233,0.311408767,0.326668357,0.313294373,0.323125013,0.338675108,0.31496734,0.309833181,0.309182562,0.39200469,0.409379025,0.339426381,0.355468266,0.375138582,0.380926548,0.361052126,0.364081194,0.427655,0.452634803,0.442149167,0.413780037,0.386960465,0.378756892,0.435948352,0.438216242,0.406175369,0.516761191,0.41369051,0.409625257,0.435584311,0.432471039,0.429377529,0.504603033,0.417087635,0.43732112,0.462659755,0.45109497,0.438405107,0.4900594,0.529084812,0.461830733,0.428861936,0.495155882,0.560018211,0.523944532,0.52593992,0.522941756,0.460345119,0.45345454,0.571046455,0.530991924,0.549166169,0.498482864,0.585205622,0.579118169,0.50136259,0.612795811,0.564784732,0.615675734,0.6131598,0.699047483,0.761330165,0.704827968,0.803089111
0.134667994,0.179162251,0.140697607,0.147363939,0.155468904,0.155632977,0.17372428,0.155354985,0.172627368,0.149531798,0.167985217,0.161040266,0.165431394,0.156572052,0.149055443,0.168896334,0.180178696,0.176909322,0.177331425,0.203476003,0.169277093,0.191558599,0.171194949,0.194852895,0.186758325,0.191132363,0.184093694,0.193267337,0.190433171,0.19658426,0.19497859,0.178657885,0.187772363,0.178580644,0.244990331,0.262109173,0.194865038,0.206963139,0.213235559,0.205523065,0.201591324,0.20392399,0.260914014,0.291108812,0.269784879,0.243662266,0.221773799,0.22006095,0.258746003,0.260468853,0.235844463,0.328081053,0.233064294,0.230310898,0.237432851,0.245050532,0.260783271,0.323336177,0.248654988,0.25460991,0.256553059,0.257843433,0.256566611,0.270450171,0.318743683,0.275085781,0.230304635,0.323255556,0.333818484,0.326598478,0.320348645,0.321798519,0.265692367,0.238626274,0.339900582,0.292318528,0.355174702,0.281336211,0.351054002,0.336866093,0.268362397,0.357081173,0.347983789,0.356390381,0.332270429,0.392056713,0.428872316,0.421690409,0.474350352
0.143460857,0.183240094,0.151137965,0.156646665,0.165257149,0.159377807,0.194198959,0.160288832,0.177296271,0.155805181,0.169752134,0.172118336,0.176485989,0.159162994,0.157433145,0.173161151,0.187179831,0.185305894,0.186593157,0.221775011,0.170246586,0.192680738,0.172903431,0.206270038,0.179930014,0.197852911,0.199605799,0.204526891,0.190485516,0.197296319,0.21271672,0.182595432,0.189227388,0.18497963,0.255964878,0.261543225,0.191273791,0.218668247,0.22244093,0.214845793,0.205141485,0.210865856,0.268912645,0.318364903,0.255885453,0.244462969,0.226876853,0.226254959,0.269185192,0.258673837,0.241173393,0.334821853,0.2314723,0.234241595,0.243139237,0.263652846,0.271368123,0.319172338,0.259817945,0.255889157,0.249197284,0.256633859,0.261238826,0.2730089,0.316697973,0.264678821,0.239477058,0.315375988,0.34246746,0.304741302,0.327437508,0.322118495,0.264782102,0.238496475,0.318318459,0.282844582,0.341705155,0.279360909,0.351863536,0.331880457,0.280914826,0.338717384,0.353033223,0.365790989,0.34313457,0.382919128,0.451605984,0.420138776,0.525409435
0.144321087,0.181952786,0.153517699,0.160345487,0.172499996,0.175856235,0.187102262,0.168671804,0.17805946,0.161079736,0.183054326,0.177299156,0.183452485,0.171916652,0.16699719,0.189169223,0.193119651,0.199111241,0.196439384,0.22850821,0.183870608,0.201536388,0.183923101,0.215672673,0.207480157,0.209563625,0.211234415,0.218305845,0.202472171,0.219675495,0.218459786,0.190090378,0.200753843,0.198692965,0.242327875,0.262053623,0.210607399,0.229765109,0.237200391,0.229455528,0.22481911,0.227996423,0.286913698,0.341690782,0.279152042,0.266712256,0.245378415,0.23505018,0.27509256,0.278326551,0.262252201,0.356381395,0.243133108,0.243940057,0.279785348,0.268384517,0.281852827,0.345368841,0.27407333,0.274710862,0.279887172,0.276144102,0.274436916,0.30501263,0.359836431,0.301246309,0.260802016,0.322800534,0.35861138,0.369891971,0.351202614,0.369608879,0.294589466,0.271564434,0.362942347,0.30850423,0.376108266,0.317135691,0.385097423,0.339618542,0.315400596,0.380603916,0.372413796,0.371640491,0.354174353,0.413263513,0.472669581,0.441924367,0.525743974
0.262673458,0.297305678,0.279851882,0.285678612,0.296068592,0.296763341,0.311566781,0.289445161,0.31005714,0.292103236,0.306126953,0.309855113,0.313672565,0.293916106,0.302090599,0.320248958,0.332802428,0.321019403,0.334161689,0.356975017,0.32307849,0.343262282,0.329302761,0.350578651,0.337577019,0.347764871,0.353318171,0.352105536,0.340699714,0.361478218,0.3694097,0.339178331,0.345827847,0.328856642,0.400420168,0.418282483,0.357710613,0.3831897,0.38824667,0.375200408,0.363171612,0.388471406,0.458019785,0.491333891,0.44158106,0.427835206,0.398416284,0.400039214,0.456330114,0.43537735,0.433405755,0.523360724,0.408242314,0.412896864,0.451858216,0.458158024,0.45528651,0.505382919,0.45032298,0.446088049,0.463600707,0.449047834,0.465829938,0.471964466,0.529750621,0.488699829,0.424043042,0.507228264,0.557847099,0.546933232,0.546438246,0.5180775,0.479131821,0.442867005,0.549522391,0.490095856,0.551969293,0.518343577,0.599263797,0.54358386,0.498540166,0.584134701,0.589388501,0.6065905,0.609737426,0.631015165,0.733538942,0.698777508,0.782311652
0.14272295,0.179349625,0.15355914,0.15175652,0.1670745,0.166095796,0.189862405,0.16418923,0.175132214,0.153646592,0.170583401,0.169183662,0.175320087,0.157671472,0.157977969,0.172595379,0.178725581,0.18937306,0.18266666,0.204571055,0.166793762,0.191694329,0.175063009,0.204102762,0.19227373,0.197842545,0.18868951,0.20262541,0.18785987,0.201037513,0.204363074,0.179460847,0.191475156,0.184671091,0.233780411,0.253263408,0.199105084,0.223514628,0.223332338,0.215495977,0.204898634,0.216514186,0.2781434,0.328435926,0.260035943,0.246300171,0.214038167,0.215355892,0.268262195,0.257134136,0.253450323,0.360660931,0.224097388,0.229840489,0.240726496,0.252037666,0.266123207,0.309405024,0.25385801,0.252733249,0.257953933,0.252023212,0.250151014,0.279557375,0.324123963,0.270955102,0.23275095,0.30305852,0.345589387,0.316457237,0.335539222,0.307966704,0.260542689,0.243904004,0.328770021,0.288322579,0.364508699,0.285168156,0.355685627,0.324312666,0.292193306,0.360414112,0.327933412,0.367935839,0.340291745,0.365734127,0.396015195,0.39398707,0.473583773
0.129894503,0.160910148,0.143213799,0.145678753,0.151197714,0.150333799,0.177005989,0.150341143,0.164633038,0.144764601,0.163881637,0.157098964,0.162526132,0.147075351,0.147233014,0.168702578,0.1784244,0.170764202,0.175871339,0.201133093,0.159850274,0.179845035,0.169399297,0.19383197,0.1846146,0.182399447,0.180670527,0.205207206,0.18249968,0.19599312,0.195349332,0.177054844,0.177252161,0.17625331,0.221648733,0.2592357,0.188547817,0.202699349,0.209448561,0.209279722,0.20087527,0.201822155,0.260958646,0.283503458,0.242058071,0.228181922,0.220685618,0.211011176,0.25379724,0.256356427,0.238464322,0.304270579,0.222395659,0.213738703,0.236767685,0.248263966,0.253499079,0.301525748,0.249784379,0.243657978,0.260342482,0.239770985,0.253322781,0.267922067,0.286937417,0.268410524,0.234848649,0.290371268,0.341904742,0.343768644,0.312713577,0.322895041,0.256058948,0.240803702,0.335073656,0.27987689,0.344579061,0.268758377,0.332302328,0.318429214,0.268798942,0.317721631,0.338832098,0.355155696,0.340701597,0.384381903,0.430258769,0.415813964,0.470595348
